schema_version,evidence_id,action_id,action_name,sector,component,source_id,source_title,pdf_page,printed_page,quote_verbatim,quote_language,indicator_ids_addressed,indicator_names_addressed,direction,quantified_value,support_scope,maladaptation_signal,extraction_run_id,review_status,reviewed_by,reviewed_at,review_note
0.3.0,ev_a0ba2d16322f3cf2,c40_0056,Improve Watershed Protection and Management,biodiversity,exposure,B_SRC_007,Harnessing Nature to Build Climate Resilience: Scaling Up the Use of Ecosystem-based Adaptation,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",en,90028 | 90030,Natural coverage | Area for conservation,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_09a4086367abf43a,c40_0056,Improve Watershed Protection and Management,biodiversity,exposure,B_SRC_010,"Climate Change 2022: Impacts, Adaptation and Vulnerability - Chapter 2: Terrestrial and Freshwater Ecosystems and their Services",7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,90028 | 90030,Natural coverage | Area for conservation,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_ee2121dad23a8126,c40_0056,Improve Watershed Protection and Management,biodiversity,vulnerability,B_SRC_007,Harnessing Nature to Build Climate Resilience: Scaling Up the Use of Ecosystem-based Adaptation,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",en,90018 | 90019,Environmental liabilities | Vegetation loss,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_d10730a7e0191bad,c40_0056,Improve Watershed Protection and Management,biodiversity,vulnerability,B_SRC_010,"Climate Change 2022: Impacts, Adaptation and Vulnerability - Chapter 2: Terrestrial and Freshwater Ecosystems and their Services",7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,90018 | 90019,Environmental liabilities | Vegetation loss,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_204138d05a43352d,icare_0156,Improve Implementation of urban gardens,biodiversity,vulnerability,B_SRC_010,"Climate Change 2022: Impacts, Adaptation and Vulnerability - Chapter 2: Terrestrial and Freshwater Ecosystems and their Services",7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,90015 | 90016 | 90023 | 90026,No family farming | No sustainable agricultural practice | Agricultural establishment | Technical guidance,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_8d0b2fd7b74cc7a3,icare_0162,Strengthen programs for control and conservation of protected areas,biodiversity,exposure,B_SRC_005,Plano Nacional de Adaptação à Mudança do Clima,139,121,"Fortalecer as medidas de conservação, recuperação e uso sustentável da biodiversidade visando o aumento da conectividade entre remanescentes dos ecossistemas e a consolidação de Unidades de Conservação, refletindo a gestão florestal integrada da paisagem e propiciando a redução da vulnerabilidade da biodiversidade.",pt,90028 | 90029 | 90030,Natural coverage | Protected area | Area for conservation,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_54a418f38cc26412,icare_0162,Strengthen programs for control and conservation of protected areas,biodiversity,exposure,B_SRC_010,"Climate Change 2022: Impacts, Adaptation and Vulnerability - Chapter 2: Terrestrial and Freshwater Ecosystems and their Services",7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,90028 | 90029 | 90030,Natural coverage | Protected area | Area for conservation,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_75c64f1771a34a3f,icare_0162,Strengthen programs for control and conservation of protected areas,biodiversity,vulnerability,B_SRC_005,Plano Nacional de Adaptação à Mudança do Clima,139,121,"Fortalecer as medidas de conservação, recuperação e uso sustentável da biodiversidade visando o aumento da conectividade entre remanescentes dos ecossistemas e a consolidação de Unidades de Conservação, refletindo a gestão florestal integrada da paisagem e propiciando a redução da vulnerabilidade da biodiversidade.",pt,90018 | 90019 | 90027,Environmental liabilities | Vegetation loss | Steering committee and management plan,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_a8d2838c20df1ee9,icare_0162,Strengthen programs for control and conservation of protected areas,biodiversity,vulnerability,B_SRC_010,"Climate Change 2022: Impacts, Adaptation and Vulnerability - Chapter 2: Terrestrial and Freshwater Ecosystems and their Services",7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,90018 | 90019,Environmental liabilities | Vegetation loss,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_0437e6ef092fcbbc,icare_0180,Expand urban green-blue networks and corridors,biodiversity,exposure,B_SRC_007,Harnessing Nature to Build Climate Resilience: Scaling Up the Use of Ecosystem-based Adaptation,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",en,90028 | 90030,Natural coverage | Area for conservation,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
