EVALUACIÓN POR COMPONENTE Y SUB-CRITERIO — SECTOR RESIDUOS,,,,,,,,,,,,,,,,,,,,,,,
Sub-criterios: 0 = no cumple  |  50 = cumple parcialmente  |  100 = cumple plenamente  |  Total = Legal×40% + Gobernanza×30% + Financiamiento×30%  |  ≥75 Viable · 40–74 Con condiciones · <40 Baja viabilidad  |  Columna S = referencias normativas y jurisprudenciales clicables · Ver Minuta Metodológica para criterios de valoración,,,,,,,,,,,,,,,,,,,,,,,
,,,VIABILIDAD LEGAL  (40%),,,,,GOBERNANZA LOCAL  (30%),,,,,,FINANCIAMIENTO  (30%),,,,REFERENCIAS Y ENLACES,,,,,
Código,Acción,"Puntaje
Total","Puntaje
Legal","Titularidad
de la
competencia
60%","Restricciones
jurídicas
30%","Alineación
con política
nacional
10%",Justificación Legal,"Puntaje
Gob.","Capacidad
técnica e
institucional
35%","Dependencia
de actores
externos
30%","Instrumento
local
habilitante
25%","Precedente
en otras
comunas
10%",Justificación Gobernanza,"Puntaje
Fin.","Disponibilidad
de fuente
identificada
75%","Accesibilidad
del
financiam.
25%",Justificación Financiamiento,1 Norma / Fuente  →  click para abrir,2 Norma / Fuente  →  click para abrir,3 Norma / Fuente  →  click para abrir,4 Norma / Fuente  →  click para abrir,5 Norma / Fuente  →  click para abrir,6 Norma / Fuente  →  click para abrir
icare_0064,Valorización de residuos orgánicos (compostaje / biogás),75.5,95,100,100,50,"La Ley 18.695, art. 3 d) establece el aseo y ornato de la comuna como función privativa municipal, lo que constituye la base legal expresa para gestionar residuos orgánicos en el territorio. El art. 25 de la misma ley precisa que la Unidad de Aseo y Ornato —encargada de extracción de basura y administración de áreas verdes— es obligatoria en comunas con más de 100.000 habitantes; en comunas menores la función existe igualmente por art. 3 d), aunque sin unidad formal obligatoria. La alineación con política nacional es parcial: la ENRO 2040 fija la meta del 66% de valorización de residuos orgánicos y la acción está directamente orientada a ese objetivo, pero el encaje exacto del PACCC comunal en la LMCC requiere verificación del texto consolidado vigente en BCN.",37.5,50,50,0,50,"El municipio tiene competencia operativa directa sobre la recolección y disposición de residuos orgánicos (Ley 18.695 arts. 3d y 4°), y existe una Guía metodológica MMA para planes comunales de residuos que facilita la implementación. Sin embargo, la mayoría de comunas chilenas no cuenta con PACCC ni plan de residuos operativo, lo que limita la capacidad de institucionalizar la acción. La coordinación con el GORE es necesaria para articular con el PARCC regional. En comunas pequeñas o medianas, la inexistencia de una unidad técnica formal de aseo (art. 25 aplica solo a comunas mayores) agrava la brecha de capacidad técnica para implementar sistemas de compostaje o biogás.",87.5,100,50,"Existen múltiples fuentes de financiamiento accesibles: el Programa Nacional de Residuos Orgánicos MMA ofrece financiamiento y asistencia técnica directa; el FNDR línea medioambiente constituye un pathway identificado; y el FPA MMA es un fondo concursable accesible para municipios. La principal limitación es que todos estos fondos son concursables y no garantizados, por lo que el acceso depende de la capacidad de formulación de proyectos del municipio.",Ley 18.695 (LOCM) — BCN,ENRO 2040 — Estrategia Nacional Residuos Orgánicos,Guía Metodológica Planes Residuos MMA,LMCC — Ley 21.455 — BCN,,
c40_0035,Optimización de rutas y operaciones de recolección de residuos,60.25,85,100,50,100,"La Ley 18.695 art. 3 d) establece el aseo y ornato como función esencial municipal, y el art. 6 habilita expresamente a los municipios a contratar privados mediante licitación pública. La competencia es clara y no disputada. La condición relevante es que la eficacia real de la acción depende del diseño de las bases de licitación: si estas no exigen explícitamente optimización de rutas y uso de tecnología de seguimiento, el municipio no puede imponerlo al operador una vez adjudicado el contrato. La competencia de gestión está mediada por el contrato con el operador privado, no es plenamente directa.",50,50,50,50,50,"La competencia municipal es clara y no disputada. Existe una Guía metodológica MMA 2025 para planes comunales de residuos que facilita la elaboración de bases de licitación con criterios de eficiencia. La principal barrera de gobernanza es la alta heterogeneidad entre comunas: la optimización de rutas requiere un diagnóstico previo del servicio que pocas comunas tienen, y las soluciones técnicas aplicables a una capital regional no son replicables en una comuna rural. La coordinación con el GORE puede ser necesaria para rutas de mayor escala o en sistemas de recolección mancomunada.",37.5,50,0,"El FNDR tiene una línea de medioambiente disponible para infraestructura de residuos, aunque los financiadores requieren proyectos específicos y acotados, no conceptos amplios. La principal barrera financiera es que sin un plan comunal de residuos previo es difícil acceder a financiamiento sectorial, ya que los fondos exigen justificación técnica del diagnóstico actual y las metas de eficiencia. El costo de la optimización en sí es bajo si se incorpora como condición en las bases de licitación.",Ley 18.695 (LOCM) — BCN,Guía Metodológica Planes Residuos MMA,FNDR — GORE (referencia general),,,
c40_0037,Recolección diferenciada y separación en origen,17.5,40,50,0,100,"La Ley 18.695 art. 3 d) establece un mandato municipal claro sobre la recolección domiciliaria. La Ley REP 20.920 y su decreto de envases y embalajes (DS 12/2020) definen que los flujos de reciclables son responsabilidad de los Sistemas de Gestión, y que los municipios deben articular con ellos la recolección selectiva en sus territorios. La Resolución Exenta N° 9/2022 del MMA aprobó un modelo de ordenanza municipal que habilita a los municipios para incorporar la obligación de separar residuos en origen —pero dentro de los parámetros definidos por los decretos REP, no de forma unilateral.

La barrera principal es la dificultad de imponer y fiscalizar la separación en origen sin habilitación sancionatoria nacional: la ordenanza municipal puede establecer la obligación, pero carece de mecanismo coercitivo efectivo si el ciudadano no cumple, ya que no existe una obligación legal nacional para hogares que respalde la sanción municipal. No existe a la fecha sentencia judicial o dictamen de Contraloría que valide o invalide expresamente una ordenanza municipal que imponga separación en origen más allá de los parámetros del DS 12/2020.",5,0,0,0,50,"La implementación requiere coordinación con los Sistemas de Gestión REP, que son actores privados completamente fuera del control municipal. Sin una ordenanza de separación en origen aprobada por el Concejo Municipal no existe mecanismo de cumplimiento. La mayoría de comunas chilenas no tiene capacidad operativa para gestionar tres flujos de residuos simultáneamente —general, reciclables y orgánicos—, lo que requiere flota diferenciada, contenedores específicos y plantas de clasificación. La acción es viable en comunas con mayor capacidad técnica y presupuestaria, pero excede las capacidades de la mayoría.",0,0,0,"La acción requiere inversión significativa en flota diferenciada, contenedores y plantas de clasificación, sin que exista en Chile un fondo específico para recolección diferenciada municipal. El DS 7/2017 MMA (Fondo para el Reciclaje, art. 31 Ley REP 20.920) puede financiar proyectos de separación en origen y recolección selectiva ejecutados por municipios, constituyendo una fuente parcial accesible pero concursable. Los Sistemas de Gestión REP pueden aportar recursos para puntos de acopio, pero no financian la infraestructura de recolección diferenciada en sí.",Ley 18.695 (LOCM) — BCN,Ley 20.920 REP — BCN,DS 12/2020 — Metas envases y embalajes — BCN,Res. Ex. N°9/2022 MMA — Modelo Ordenanza REP,DS 7/2017 MMA — Fondo para el Reciclaje,
c40_0036,Mejora de rellenos sanitarios y captura de biogás,6.5,5,0,0,50,"Los rellenos sanitarios son instalaciones de disposición final reguladas exclusivamente por el nivel nacional y regional: la autorización y fiscalización corresponde a la Autoridad Sanitaria (SEREMI de Salud) conforme al D.S. N° 189/2005 del Ministerio de Salud. Las SEREMI de Salud ejercen esta autoridad conforme al Código Sanitario y al D.S. N° 136/2004 (Reglamento Orgánico del MINSAL, arts. 32° y 35°). El municipio no tiene competencia para autorizar, construir ni operar rellenos sanitarios. Su rol posible es de coordinación con la SEREMI Salud y el GORE para identificar terrenos aptos y promover proyectos regionales, pero sin poder de decisión propio.",15,0,50,0,0,"La gestión de rellenos sanitarios requiere autorización sanitaria ante la SEREMI de Salud (D.S. 189/2005) e ingreso al SEIA para proyectos de esta magnitud. Se trata de infraestructura de escala regional que requiere coordinación entre el GORE, la SEREMI de Salud y un operador privado especializado. El municipio no puede liderar ni financiar este proceso de forma autónoma. La captura de biogás, que requiere ingeniería especializada de extracción de metano, añade una capa adicional de complejidad técnica que excede la capacidad de prácticamente todos los municipios del país.",0,0,0,"La inversión de capital es muy alta y no existe en Chile un fondo específico para mejora de rellenos sanitarios municipales. La captura de biogás solo es económicamente viable en rellenos que reciben más de 100 toneladas diarias, umbral que la mayoría de comunas chilenas no alcanza. El FNDR puede cubrir parte de la inversión, pero exige proyecto BIP aprobado, lo que implica un proceso previo de prefactibilidad técnica que requiere financiamiento propio o de otra fuente.",D.S. 189/2005 Ministerio de Salud — BCN,Ley 18.695 (LOCM) — BCN,Ley 19.300 Bases del Medio Ambiente (SEIA) — BCN,D.S. 136/2004 Reglamento Orgánico MINSAL — BCN,,
icare_0111,Fortalecimiento del sistema REP (Responsabilidad Extendida del Productor),13.25,5,0,0,50,"La Ley REP 20.920 establece el marco legal completo para la Responsabilidad Extendida del Productor en Chile. La competencia regulatoria sobre el sistema corresponde expresamente al nivel nacional: la División de Recursos Naturales, Residuos y Evaluación de Riesgo del MMA tiene la atribución de diseñar políticas y normas en materia de residuos (Art. 7° letra c, D.S. N° 8/2012 del MMA), las metas REP son fijadas por el MMA mediante decretos supremos (DS 12/2020 para envases y embalajes), y la SMA fiscaliza el cumplimiento.

La Resolución Exenta N° 9 de 2022 del MMA aprobó un modelo de ordenanza municipal para envases y embalajes en el marco del DS 12/2020, estableciendo que las municipalidades deben incorporar en sus ordenanzas la obligación de separar residuos en origen dentro de los parámetros definidos por los decretos REP. Esto confirma que el rol municipal en el sistema REP es de apoyo operativo y reglamentario local —no de regulación del sistema en sí. Doctrina administrativa reciente (fichas CGR 2023-2024 sobre implementación REP) reitera que la regulación de metas y obligaciones corresponde al nivel central y los municipios solo pueden complementar en el plano operativo. Los Sistemas de Gestión son entidades privadas fiscalizadas por la SMA, completamente fuera del alcance regulatorio municipal.",0,0,0,0,0,"La gobernanza del sistema REP es completamente nacional: el MMA define las metas, la SMA fiscaliza el cumplimiento y los Sistemas de Gestión operan la logística de recolección. El municipio no tiene asiento formal en la gobernanza del sistema REP. La Resolución Exenta N° 9/2022 del MMA hace énfasis en la coordinación con SEREMI MMA y en el uso de instrumentos como los PACCC como marco de articulación, lo que confirma que la coordinación externa es condición necesaria, no opcional. El municipio puede suscribir convenios con Sistemas de Gestión para ceder espacios como puntos de recolección (DS 12/2020 habilita esta coordinación), pero eso es coordinación operativa, no gobernanza del sistema.",37.5,50,0,"El DS 7/2017 MMA (Fondo para el Reciclaje, art. 31 Ley REP 20.920) financia proyectos de reciclaje ejecutados por municipios o asociaciones de municipios, lo que constituye un mecanismo de financiamiento indirecto accesible para comunas que implementen puntos de recolección o programas de apoyo a Sistemas de Gestión REP. El municipio también puede suscribir convenios con Sistemas de Gestión REP para recibir compensaciones por gestión de puntos de acopio. Sin embargo, estos recursos cubren acciones de apoyo logístico, no el fortalecimiento del sistema REP como tal.",Ley 20.920 REP — BCN,DS 12/2020 — Metas envases y embalajes — BCN,Res. Ex. N°9/2022 MMA — Modelo Ordenanza REP,D.S. 8/2012 MMA — Reglamento Orgánico — BCN,DS 7/2017 MMA — Fondo para el Reciclaje,Portal Economía Circular MMA — Ley REP
c40_0040,Tarificación por volumen de residuos generados (PAYT),61.75,55,50,50,100,"El DL N° 3.063 de 1979 (Rentas Municipales), arts. 6°-9°, habilita al municipio para cobrar un derecho de aseo domiciliario y regularlo mediante ordenanza local. El art. 7° establece que la tarifa es anual y se fija en función del costo real del servicio. El art. 8° define la extracción usual y ordinaria como aquella que no sobrepasa 60 litros diarios, fijando ese parámetro como referencia de extracción habitual —no como un sistema de medición individualizada por hogar. El art. 6° inc. 2° habilita expresamente a diferenciar la tarifa según programas ambientales que incluyan reciclaje. La Ley 18.695 art. 3 d) complementa esta habilitación como base general de la función de aseo.

La tarificación por volumen al estilo PAYT moderno —con medición individualizada— no está tipificada expresamente en el texto legal. Es una construcción jurídica interpretativa. La jurisprudencia administrativa de Contraloría General de la República es consistente en aplicar el principio de legalidad estricta a la configuración del derecho de aseo: los dictámenes N° 29.860/2006, N° 9.294/2003 y N° 30.585/2004 reiteran que los municipios carecen de facultades para alterar la estructura del derecho de aseo más allá de lo habilitado expresamente por el DL 3.063. Los dictámenes N° 33.416/2016 y N° 4.059/2016 confirman que el cobro debe ceñirse a los parámetros de los arts. 7° y 9° del decreto. Un diseño PAYT que se aparte significativamente de la lógica de tarifa anual por extracción usual estará bajo escrutinio y requiere una justificación particularmente rigurosa en la ordenanza habilitante. No existe a la fecha un dictamen específico de Contraloría que valide o declare ilegal un PAYT individualizado, por lo que el riesgo de impugnación es prudencial, no confirmado por pronunciamiento firme. Texto consolidado del DL 3.063 pendiente de verificación en BCN.",32.5,50,50,0,0,"El municipio tiene autonomía para diseñar y aprobar ordenanzas de servicios, pero el proceso requiere aprobación del Concejo Municipal, que puede generar resistencia política si la ciudadanía lo percibe como un nuevo impuesto regresivo. No existe en Chile un municipio de referencia con PAYT consolidado que sirva de modelo replicable, lo que aumenta la incertidumbre técnica y política de la implementación.",100,100,100,"El costo de implementación es bajo, principalmente diseño normativo y comunicación ciudadana, sin necesidad de inversión de capital significativa en la primera etapa. Adicionalmente, un PAYT bien diseñado puede generar ingresos propios si la tarifa diferenciada incentiva reducción de volumen, lo que hace la acción potencialmente autofinanciada. No requiere fondos externos para comenzar.",DL 3.063 Rentas Municipales — BCN,Ley 18.695 (LOCM) — BCN,Dictamen CGR N°29.860/2006 — vLex,Dictamen CGR N°33.416/2016 — Contraloría,Dictamen CGR N°4.059/2016 — vLex,
c40_0034,Prohibición / restricción de plásticos de un solo uso,63.25,55,50,50,100,"La Ley 21.100, arts. 1 y 3, prohíbe a los establecimientos de comercio la entrega de bolsas plásticas y fija multas por infracción. La fiscalización del cumplimiento de esta ley en el territorio comunal corresponde a los municipios según el informe BCN de implementación: se trata de una potestad de fiscalización de una ley nacional, no de una potestad reglamentaria propia.

El Segundo Tribunal Ambiental, en sentencia de 22 de diciembre de 2025 (Rol R-521-2025, Papier-Mettler Chile SpA con Ministerio del Medio Ambiente), confirmó que el MMA no tiene potestad de interpretación auténtica de la Ley 21.100 —la prohibición es de carácter estrictamente legal y nacional. Esto implica que ninguna autoridad subnacional, incluidos los municipios, puede alterar el núcleo de la prohibición establecida por la ley mediante instrumentos propios. Los municipios pueden fiscalizar y reforzar comunicacionalmente la Ley 21.100 en su territorio, pero no pueden crear nuevas prohibiciones de materiales adicionales por ordenanza sin habilitación legal expresa. Estudios en materia de libre competencia y orden público económico advierten que restricciones adicionales impuestas por autoridades subnacionales podrían ser objeto de controversia por eventuales efectos anticompetitivos.",37.5,50,50,0,50,"El municipio puede fiscalizar el cumplimiento de la Ley 21.100 en su territorio, pero la capacidad fiscalizadora es limitada: los inspectores municipales tienen una agenda prioritaria amplia y el comercio informal es prácticamente imposible de fiscalizar con las herramientas disponibles. El rol real del municipio es más de refuerzo comunicacional y educativo que de control efectivo. La extensión normativa —crear nuevas prohibiciones más allá de lo que establece la ley nacional— no está habilitada.",100,100,100,"El costo operativo es bajo: principalmente fiscalización y comunicación, sin necesidad de infraestructura nueva. La acción puede autofinanciarse con multas y derechos de inspección, aunque el rendimiento de multas en este tipo de fiscalización es históricamente bajo en Chile. No requiere financiamiento externo significativo para implementarse.",Ley 21.100 — Bolsas plásticas — BCN,Ley 18.695 (LOCM) — BCN,Sentencia R-521-2025 — Segundo Tribunal Ambiental,Expediente R-521-2025 — Tribunal Ambiental,,
icare_0053,Formalización e integración de recicladores de base,46.25,50,50,50,50,"La Ley 18.695 habilita al municipio a celebrar convenios para la gestión de residuos y a otorgar subvenciones a personas jurídicas sin fines de lucro que colaboren con sus funciones (art. 5° g). La Ley 19.207 (Ley Orgánica de SERCOTEC) habilita programas de fomento productivo para microempresas y cooperativas, incluyendo formalización de unidades de reciclaje. La limitación es que no existe un marco legal específico para recicladores informales en la legislación chilena de residuos: el vacío normativo hace que la base jurídica sea interpretativa y el apoyo municipal sea discrecional, sin obligación legal de mantenerlo entre administraciones.",37.5,50,50,0,50,"El municipio puede articular con SERCOTEC para capacitación y formalización de cooperativas de recicladores. La complejidad de coordinación entre municipio, GORE, SERCOTEC y Sistemas de Gestión REP es significativa. Sin una ordenanza específica que institucionalice el apoyo a recicladores de base, el programa es vulnerable a cambios de administración. La capacidad de implementación varía considerablemente: comunas con mayor experiencia en gestión de residuos pueden sostener estos programas, mientras que comunas más pequeñas difícilmente pueden mantener una coordinación de esta complejidad sin asistencia técnica externa permanente.",50,50,50,"SERCOTEC ofrece líneas de apoyo accesibles para formalización de cooperativas. El FPA MMA es un fondo concursable para participación comunitaria y reciclaje. El DS 7/2017 MMA (Fondo para el Reciclaje) financia proyectos de integración de recicladores de base ejecutados por municipios. El PMU SUBDERE (Ley 20.407, Prog. 03 glosa 06) cubre infraestructura básica de acopio. La sostenibilidad a largo plazo depende de contratos con Sistemas de Gestión REP, que no están garantizados.",Ley 18.695 (LOCM) — BCN,Ley 19.207 — Ley Orgánica SERCOTEC — BCN,Ley 20.920 REP — BCN,DS 7/2017 MMA — Fondo para el Reciclaje,PMU SUBDERE — Programa Mejoramiento Urbano,
icare_0110,Gestión de residuos de construcción y demolición (RCD),43,55,50,50,100,"La Ley 18.695 art. 3 d) habilita al municipio para exigir condiciones de gestión de residuos de construcción y demolición (RCD) vía permisos DOM (LGUC / OGUC, D.S. 47/1992 MINVU). El D.S. N° 4/2009 del MINVU regula específicamente el manejo de RCD y es la norma técnica aplicable. La restricción relevante es que la fracción peligrosa de RCD —suelos contaminados por constituyentes de la Lista II del D.S. 148/2003 MINSAL— queda sujeta a la Autoridad Sanitaria (SEREMI Salud), no al DOM. El municipio debe verificar si los RCD contienen esos constituyentes antes de gestionar. Adicionalmente, el D.S. 4/2009 está desactualizado (2009), lo que puede facilitar su impugnación si el municipio exige condiciones de reciclaje avanzado que la norma no contempla expresamente.",32.5,50,50,0,0,"El DOM tiene poder directo vía permisos de edificación para imponer condiciones de gestión de RCD a constructoras formales. Sin embargo, esta capacidad requiere inspectores capacitados en gestión de RCD, lo que no es la norma. La construcción informal es prácticamente imposible de fiscalizar con las herramientas municipales actuales. El mercado formal de reciclaje de RCD en Chile es muy pequeño, lo que limita las opciones de destino final para los materiales recuperados. La acción es viable para obras formales de gran escala, pero inviable para construcción menor e informal.",37.5,50,0,"El costo principal de la gestión de RCD recae en las constructoras, no en el municipio, ya que se impone como condición en los permisos de edificación. El PMU SUBDERE (Ley 20.407, Prog. 03 glosa 06) financia infraestructura básica de centros de acopio de escombros y residuos voluminosos. No existe un fondo específico para infraestructura avanzada de reciclaje de RCD en Chile. Sin un mercado de reciclaje desarrollado, el costo de la segregación avanzada no se recupera.",Ley 18.695 (LOCM) — BCN,D.S. 4/2009 MINVU — Gestión RCD — BCN,D.S. 47/1992 MINVU — OGUC — BCN,D.S. 148/2003 MINSAL — Residuos peligrosos — BCN,PMU SUBDERE — Programa Mejoramiento Urbano,
